,postal_code,country,timestamp,cldCvrMin,cldCvrAvg,cldCvrMax,dewPtMin,dewPtAvg,dewPtMax,feelsLikeMin,feelsLikeAvg,feelsLikeMax,heatIndexMin,heatIndexAvg,heatIndexMax,mslPresMin,mslPresAvg,mslPresMax,precip,presTendMin,presTendAvg,presTendMax,radSolarMin,radSolarAvg,radSolarMax,radSolarTot,relHumMin,relHumAvg,relHumMax,sfcPresMin,sfcPresAvg,sfcPresMax,snowDepth,snowfall,spcHumMin,spcHumAvg,spcHumMax,tempMin,tempAvg,tempMax,windChillMin,windChillAvg,windChillMax,windDirAvg,windDir80mAvg,windDir100mAvg,windSpdMin,windSpdAvg,windSpdMax,windSpd80mMin,windSpd80mAvg,windSpd80mMax,windSpd100mMin,windSpd100mAvg,windSpd100mMax,wetBulbMin,wetBulbAvg,wetBulbMax
31,10019,US,2019-02-01T00:00:00-05:00,0,18,100,-7.7,-2.9,3.4,0.6,8.4,16.4,10.3,15.9,21.3,1027.3,1029.9,1032.4,0.0,-1.3,-0.1,0.6,0,122.1,525.1,2929.7,35.3,43.1,53.4,1027.6,1029.7,1031.9,0.6,0.0,0.6,0.8,1.1,10.3,15.9,21.3,0.6,8.4,16.4,279,287,291,3.2,4.8,7.1,2.3,7.0,13.5,2.8,7.1,13.3,8.2,13.2,17.9
32,10019,US,2019-02-02T00:00:00-05:00,0,3,32,-0.1,11.6,22.6,8.4,18.4,25.0,15.7,25.2,33.5,1018.9,1024.0,1029.4,0.01,-1.9,-0.4,0.4,0,135.1,534.3,3242.3,46.1,56.2,73.3,1018.6,1023.7,1029.1,0.4,0.05,0.9,1.7,2.5,15.7,25.2,33.5,8.4,18.4,25.0,240,248,251,1.1,7.0,12.1,0.8,12.4,19.5,3.5,11.9,18.7,13.3,22.1,29.3
33,10019,US,2019-02-03T00:00:00-05:00,0,8,48,22.8,29.4,35.1,23.5,36.9,52.3,28.3,38.9,52.4,1018.4,1019.9,1022.0,0.0,-0.9,0.0,0.7,0,128.4,492.5,3082.5,48.0,69.8,82.1,1018.9,1020.1,1021.9,0.0,0.0,2.6,3.4,4.2,28.3,38.9,52.4,23.5,36.9,52.3,225,235,244,1.0,3.4,6.7,2.8,9.2,15.3,3.2,8.5,16.1,26.6,35.2,44.6
34,10019,US,2019-02-04T00:00:00-05:00,0,1,7,29.5,35.0,39.1,33.6,43.8,56.8,34.2,44.7,57.8,1014.7,1017.3,1019.3,0.0,-0.8,-0.2,0.4,0,145.8,572.3,3499.9,47.4,70.6,86.3,1015.3,1017.5,1019.3,0.0,0.0,3.4,4.3,5.0,34.2,44.7,57.8,33.6,43.8,56.8,191,199,209,0.5,3.3,7.1,5.4,8.4,13.1,6.1,7.8,10.1,32.5,40.5,49.0
35,10019,US,2019-02-05T00:00:00-05:00,0,15,52,34.8,40.5,47.7,37.6,49.5,66.1,37.6,50.4,66.1,1013.5,1015.4,1019.2,0.0,-1.0,0.2,1.2,0,127.4,541.1,3056.9,48.4,70.5,89.7,1012.9,1015.0,1019.4,0.0,0.0,4.2,5.3,7.0,37.6,50.4,66.1,37.6,49.5,66.1,293,286,282,0.1,3.9,10.4,4.0,8.4,18.6,5.1,9.1,17.4,36.4,45.5,56.2
36,10019,US,2019-02-06T00:00:00-05:00,0,49,100,25.7,32.6,39.3,31.2,36.6,41.8,34.9,40.2,45.1,1017.7,1020.9,1023.9,0.36,-1.1,-0.1,1.0,0,125.1,553.9,3002.1,55.2,75.0,95.7,1018.1,1021.1,1024.1,0.0,0.0,2.9,3.9,5.0,34.9,40.2,45.1,31.2,36.6,41.8,77,65,70,1.7,5.4,8.0,3.9,9.9,14.1,4.6,10.2,15.2,31.8,37.3,39.9
37,10019,US,2019-02-07T00:00:00-05:00,73,98,100,37.4,39.5,41.2,32.1,37.6,42.5,38.6,41.1,44.1,1015.2,1017.5,1018.7,0.06,-1.6,-0.1,1.1,0,51.4,208.0,1233.4,88.7,93.9,96.9,1015.1,1017.7,1019.2,0.0,0.0,4.7,5.1,5.4,38.6,41.1,44.1,32.1,37.6,42.5,52,50,53,2.9,5.4,9.5,3.1,8.3,16.0,3.4,8.4,15.1,38.1,40.4,42.6
38,10019,US,2019-02-08T00:00:00-05:00,0,40,100,12.1,31.3,44.6,21.3,37.8,49.4,31.5,42.5,54.3,1012.1,1016.5,1026.8,0.34,-1.3,0.4,1.7,0,93.3,518.5,2238.6,30.8,69.2,96.7,1011.5,1015.5,1025.2,0.0,0.0,1.6,4.0,6.2,31.5,42.5,54.3,21.3,37.8,49.4,271,271,271,1.0,9.7,19.2,2.6,15.5,28.5,3.3,15.9,28.2,26.9,39.1,47.7
39,10019,US,2019-02-09T00:00:00-05:00,0,1,4,3.2,9.0,12.2,10.3,17.1,22.2,23.1,27.7,31.7,1027.2,1036.0,1040.3,0.0,-0.3,0.6,1.5,0,164.0,626.9,3934.5,37.8,45.2,55.5,1026.2,1035.1,1040.4,0.0,0.0,1.1,1.4,1.6,23.1,27.7,31.7,10.3,17.1,22.2,310,312,312,6.3,13.1,17.6,11.1,19.7,26.3,11.2,18.7,25.5,19.7,23.7,27.0
40,10019,US,2019-02-10T00:00:00-05:00,0,38,100,10.6,12.6,15.1,15.8,24.1,32.7,21.5,29.3,35.1,1029.3,1035.2,1040.4,0.0,-1.4,-0.5,0.6,0,142.3,574.8,3415.2,39.0,50.0,65.3,1028.2,1034.8,1039.8,0.0,0.0,1.5,1.6,1.8,21.5,29.3,35.1,15.8,24.1,32.7,276,283,287,2.0,4.9,7.7,4.8,7.7,10.7,4.6,7.3,10.9,19.2,25.3,29.7
41,10019,US,2019-02-11T00:00:00-05:00,18,78,100,14.9,21.0,24.9,26.4,30.2,35.9,30.3,33.6,36.6,1024.9,1026.8,1028.4,0.0,-0.9,0.0,0.7,0,68.7,353.5,1649.2,44.8,60.5,79.6,1025.2,1026.5,1029.2,0.2,0.0,1.8,2.4,2.8,30.3,33.6,36.6,26.4,30.2,35.9,12,20,27,1.9,4.0,6.7,2.1,5.9,11.5,1.9,5.2,8.9,28.2,29.9,31.3
42,10019,US,2019-02-12T00:00:00-05:00,23,88,100,10.1,23.0,34.2,14.3,22.4,31.1,25.2,30.4,34.9,1004.4,1021.0,1029.0,0.62,-2.6,-1.0,0.5,0,36.9,161.0,885.9,41.0,76.9,97.6,1004.2,1021.2,1029.2,4.0,4.04,1.5,2.7,4.1,25.2,30.4,34.9,14.3,22.4,31.1,63,64,69,4.3,9.1,12.2,12.6,15.0,17.6,10.9,15.8,20.0,24.2,28.5,34.6
43,10019,US,2019-02-13T00:00:00-05:00,0,28,100,20.0,27.4,34.1,24.4,28.9,32.9,31.8,35.6,40.2,1001.3,1006.6,1011.5,0.06,-2.2,0.3,1.4,0,164.0,604.1,3936.8,55.0,73.4,98.0,1001.0,1005.7,1011.3,2.7,0.0,2.3,3.2,4.1,31.8,35.6,40.2,24.4,28.9,32.9,266,272,272,3.8,9.6,18.7,10.3,16.8,25.7,6.2,17.2,23.5,28.4,32.8,35.8
44,10019,US,2019-02-14T00:00:00-05:00,0,35,100,19.0,22.3,29.0,23.6,33.0,42.2,31.1,38.3,45.6,1012.2,1016.5,1018.2,0.0,-0.9,0.2,1.3,0,153.5,599.0,3685.1,38.7,53.2,73.2,1011.8,1016.0,1017.7,0.6,0.0,2.2,2.5,3.3,31.1,38.3,45.6,23.6,33.0,42.2,267,257,258,1.0,7.5,11.8,6.4,12.5,19.2,5.7,12.6,19.0,28.5,33.3,38.3
45,10019,US,2019-02-15T00:00:00-05:00,0,56,100,30.0,39.1,42.6,36.5,45.9,55.0,39.7,48.2,56.3,1003.7,1007.8,1015.4,0.0,-1.4,-0.4,1.0,0,89.6,403.9,2149.7,50.4,71.9,89.0,1002.4,1007.0,1015.4,0.6,0.0,3.5,5.1,5.8,39.7,48.2,56.3,36.5,45.9,55.0,179,188,195,2.8,5.5,9.8,9.4,14.1,20.5,13.1,15.6,20.3,36.2,44.0,49.4
46,10019,US,2019-02-16T00:00:00-05:00,0,18,100,17.9,21.1,28.3,25.0,32.0,39.3,31.1,37.6,43.8,1007.5,1012.2,1018.1,0.0,-0.5,0.5,1.0,0,170.3,636.1,4086.4,39.1,51.6,62.0,1006.7,1011.6,1017.8,0.0,0.0,2.1,2.4,3.3,31.1,37.6,43.8,25.0,32.0,39.3,322,330,329,4.0,7.8,11.2,11.6,14.5,18.9,11.9,14.6,19.6,27.4,32.6,38.1
47,10019,US,2019-02-17T00:00:00-05:00,0,34,100,14.6,19.5,31.5,17.5,26.4,33.0,25.0,31.7,36.0,1015.3,1018.4,1021.3,0.05,-2.2,-0.2,1.8,0,163.7,651.5,3928.4,42.3,61.3,90.7,1014.2,1018.3,1022.1,0.2,0.0,1.8,2.3,3.7,25.0,31.7,36.0,17.5,26.4,33.0,35,39,40,2.2,5.5,8.9,1.7,8.0,13.8,2.4,7.7,13.9,22.4,28.2,32.9
48,10019,US,2019-02-18T00:00:00-05:00,0,60,100,13.7,27.8,36.4,15.1,27.6,34.3,25.5,34.0,41.0,1009.8,1015.8,1028.6,0.08,-1.2,0.6,2.5,0,57.6,389.3,1382.9,56.6,79.1,97.1,1008.6,1014.8,1027.9,0.5,0.0,1.7,3.3,4.5,25.5,34.0,41.0,15.1,27.6,34.3,309,315,313,1.2,8.7,18.1,3.0,14.0,27.0,2.4,13.8,26.5,22.6,32.0,38.4
49,10019,US,2019-02-19T00:00:00-05:00,0,33,100,7.7,10.9,13.5,13.8,21.4,29.2,22.7,28.8,35.5,1029.6,1034.1,1036.3,0.0,-0.7,0.3,1.4,0,177.7,662.0,4263.9,32.8,48.3,63.9,1028.7,1033.8,1036.0,0.0,0.0,1.3,1.5,1.7,22.7,28.8,35.5,13.8,21.4,29.2,310,314,313,4.7,7.4,9.8,9.1,11.1,15.1,8.1,10.4,15.5,20.2,24.8,29.8
50,10019,US,2019-02-20T00:00:00-05:00,88,100,100,8.6,19.7,31.1,20.0,23.5,28.6,26.1,28.2,31.9,1017.6,1031.1,1036.3,0.33,-2.3,-0.7,0.7,0,78.5,370.0,1884.6,44.7,73.2,96.8,1018.8,1031.3,1036.6,2.4,2.36,1.4,2.3,3.6,26.1,28.2,31.9,20.0,23.5,28.6,64,70,86,2.3,4.4,7.1,3.2,7.1,12.8,3.5,7.5,13.2,22.7,26.1,31.6
